date,date_str,petrol_95,petrol_92,auto_diesel,super_diesel,kerosene,industrial_kerosene,furnace_800,furnace_1500_high,furnace_1500_low
2025-11-01T00:00:00,01.11.2025,335.0,294.0,277.0,318.0,180.0,193.0,194.0,194.0,194.0
2025-10-01T00:00:00,01.10.2025,335.0,299.0,277.0,313.0,180.0,193.0,194.0,194.0,194.0
2025-09-01T00:00:00,01.09.2025,341.0,299.0,283.0,313.0,185.0,193.0,194.0,194.0,194.0
2025-07-05T00:00:00,05.07.2025,341.0,305.0,289.0,325.0,185.0,193.0,194.0,194.0,194.0
2025-07-01T00:00:00,01.07.2025,341.0,305.0,289.0,325.0,185.0,186.0,184.0,184.0,184.0
2025-05-05T00:00:00,05.05.2025,341.0,293.0,274.0,325.0,178.0,186.0,184.0,184.0,184.0
2025-04-30T00:00:00,30.04.2025,341.0,293.0,274.0,325.0,178.0,191.0,207.0,207.0,207.0
2025-04-01T00:00:00,01.04.2025,361.0,299.0,286.0,331.0,183.0,191.0,207.0,207.0,207.0
2025-02-01T00:00:00,01.02.2025,371.0,309.0,286.0,331.0,183.0,191.0,207.0,207.0,207.0
2025-01-05T00:00:00,05.01.2025,371.0,309.0,286.0,331.0,183.0,191.0,207.0,207.0,207.0
2025-01-02T00:00:00,02.01.2025,371.0,309.0,286.0,331.0,183.0,196.0,207.0,207.0,207.0
2025-01-01T00:00:00,01.01.2025,371.0,309.0,286.0,313.0,183.0,196.0,207.0,207.0,207.0
2024-12-05T00:00:00,05.12.2024,371.0,309.0,286.0,313.0,188.0,196.0,207.0,207.0,207.0
2024-12-01T00:00:00,01.12.2024,371.0,309.0,286.0,313.0,188.0,191.0,207.0,207.0,207.0
2024-11-01T00:00:00,01.11.2024,371.0,311.0,283.0,313.0,183.0,191.0,207.0,207.0,207.0
2024-10-05T00:00:00,05.10.2024,377.0,311.0,283.0,319.0,183.0,191.0,207.0,207.0,207.0
2024-10-01T00:00:00,01.10.2024,377.0,311.0,283.0,319.0,183.0,210.0,199.0,199.0,199.0
2024-09-05T00:00:00,05.09.2024,377.0,332.0,307.0,352.0,202.0,210.0,199.0,199.0,199.0
2024-09-01T00:00:00,01.09.2024,377.0,332.0,307.0,352.0,202.0,219.0,199.0,199.0,199.0
2024-08-15T00:00:00,15.08.2024,379.0,344.0,317.0,355.0,202.0,219.0,199.0,199.0,199.0
2024-07-15T00:00:00,15.07.2024,379.0,344.0,317.0,355.0,202.0,219.0,188.0,188.0,188.0
