id,date,date_str,petrol_95,petrol_92,auto_diesel,super_diesel,kerosene,industrial_kerosene,furnace_800,furnace_1500_high,furnace_1500_low,location,source,scraped_at,recorded_at
1765300547708,2025-11-01T00:00:00,01.11.2025,335.0,294.0,277.0,318.0,180.0,193.0,194.0,194.0,194.0,Sri Lanka,ceypetco,2025-12-09T22:45:45.232606,2025-12-09T22:45:47.735707
1765300547850,2025-10-01T00:00:00,01.10.2025,335.0,299.0,277.0,313.0,180.0,193.0,194.0,194.0,194.0,Sri Lanka,ceypetco,2025-12-09T22:45:45.232988,2025-12-09T22:45:47.878388
1765300547885,2025-09-01T00:00:00,01.09.2025,341.0,299.0,283.0,313.0,185.0,193.0,194.0,194.0,194.0,Sri Lanka,ceypetco,2025-12-09T22:45:45.233174,2025-12-09T22:45:47.909872
1765300547916,2025-07-05T00:00:00,05.07.2025,341.0,305.0,289.0,325.0,185.0,193.0,194.0,194.0,194.0,Sri Lanka,ceypetco,2025-12-09T22:45:45.233345,2025-12-09T22:45:47.940833
1765300547948,2025-07-01T00:00:00,01.07.2025,341.0,305.0,289.0,325.0,185.0,186.0,184.0,184.0,184.0,Sri Lanka,ceypetco,2025-12-09T22:45:45.233516,2025-12-09T22:45:47.969444
1765300547977,2025-05-05T00:00:00,05.05.2025,341.0,293.0,274.0,325.0,178.0,186.0,184.0,184.0,184.0,Sri Lanka,ceypetco,2025-12-09T22:45:45.233689,2025-12-09T22:45:48.004517
1765300548011,2025-04-30T00:00:00,30.04.2025,341.0,293.0,274.0,325.0,178.0,191.0,207.0,207.0,207.0,Sri Lanka,ceypetco,2025-12-09T22:45:45.233866,2025-12-09T22:45:48.032948
1765300548036,2025-04-01T00:00:00,01.04.2025,361.0,299.0,286.0,331.0,183.0,191.0,207.0,207.0,207.0,Sri Lanka,ceypetco,2025-12-09T22:45:45.234068,2025-12-09T22:45:48.060791
1765300548064,2025-02-01T00:00:00,01.02.2025,371.0,309.0,286.0,331.0,183.0,191.0,207.0,207.0,207.0,Sri Lanka,ceypetco,2025-12-09T22:45:45.234241,2025-12-09T22:45:48.087367
1765300548090,2025-01-05T00:00:00,05.01.2025,371.0,309.0,286.0,331.0,183.0,191.0,207.0,207.0,207.0,Sri Lanka,ceypetco,2025-12-09T22:45:45.234412,2025-12-09T22:45:48.110630
1765300548113,2025-01-02T00:00:00,02.01.2025,371.0,309.0,286.0,331.0,183.0,196.0,207.0,207.0,207.0,Sri Lanka,ceypetco,2025-12-09T22:45:45.234584,2025-12-09T22:45:48.136528
1765300548140,2025-01-01T00:00:00,01.01.2025,371.0,309.0,286.0,313.0,183.0,196.0,207.0,207.0,207.0,Sri Lanka,ceypetco,2025-12-09T22:45:45.234755,2025-12-09T22:45:48.160627
1765300548163,2024-12-05T00:00:00,05.12.2024,371.0,309.0,286.0,313.0,188.0,196.0,207.0,207.0,207.0,Sri Lanka,ceypetco,2025-12-09T22:45:45.234924,2025-12-09T22:45:48.185025
1765300548188,2024-12-01T00:00:00,01.12.2024,371.0,309.0,286.0,313.0,188.0,191.0,207.0,207.0,207.0,Sri Lanka,ceypetco,2025-12-09T22:45:45.235090,2025-12-09T22:45:48.210411
